,color,hex
815,light violet,#d6b4fc
816,midnight blue,#191970
817,bluish purple,#703be7
818,red orange,#ff681f
819,dark magenta,#8b008b
820,greenish,#40a368
821,ocean blue,#4f42b5
822,coral,#ff7f50
823,cream,#fffdd0
824,reddish brown,#7f2b0a
825,burnt sienna,#e97451
826,brick,#a03623
827,sage,#bcb88a
828,grey green,#789b73
829,white,#ffffff
830,robin's egg blue,#00cccc
831,moss green,#8a9a5b
832,steel blue,#4682b4
833,eggplant,#614051
834,light yellow,#ffffe0
835,leaf green,#5ca904
836,light grey,#d8dcd6
837,puke,#a5a502
838,pinkish purple,#d648d7
839,sea blue,#047495
840,pale purple,#b790d4
841,slate blue,#6a5acd
842,blue grey,#607c8e
843,hunter green,#355e3b
844,fuchsia,#ff00ff
845,crimson,#dc143c
846,pale yellow,#ffff84
847,mustard yellow,#d2bd0a
848,light red,#ff474c
849,cerulean,#02a4d3
850,pale pink,#fadadd
851,deep blue,#040273
852,rust,#b7410e
853,light teal,#90e4c1
854,slate,#516572
855,goldenrod,#fcd667
856,dark yellow,#d5b60a
857,dark grey,#363737
858,army green,#4b5320
859,grey blue,#6b8ba4
860,seafoam,#80f9ad
861,puce,#cc8899
862,spring green,#ecebbd
863,dark orange,#ff8c00
864,sand,#c2b280
865,pastel green,#b0ff9d
866,mint,#3eb489
867,light orange,#fed8b1
868,bright pink,#fe01b1
869,chartreuse,#c1f80a
870,deep purple,#36013f
871,dark brown,#654321
872,taupe,#483c32
873,pea green,#8eab12
874,puke green,#9aae07
875,kelly green,#4cbb17
876,seafoam green,#7af9ab
877,blue green,#0d98ba
878,khaki,#aaa662
879,burgundy,#800020
880,dark teal,#014d4e
881,brick red,#cb4154
882,royal purple,#7851a9
883,plum,#8e4585
884,mint green,#98ff98
885,gold,#a57c00
886,baby blue,#89cff0
887,yellow green,#c5e17a
888,bright purple,#be03fd
889,dark red,#8b0000
890,pale blue,#d0fefe
891,grass green,#3f9b0b
892,navy,#01153e
893,aquamarine,#95e0e8
894,burnt orange,#ff7034
895,neon green,#39ff14
896,bright blue,#0165fc
897,rose,#ff007f
898,light pink,#ffb6c1
899,mustard,#ffdb58
900,indigo,#4f69c6
901,lime,#aaff32
902,sea green,#93dfb8
903,periwinkle,#ccccff
904,dark pink,#cb416b
905,olive green,#b5b35c
906,peach,#ffe5b4
907,pale green,#c7fdb5
908,light brown,#ad8150
909,hot pink,#ff69b4
910,black,#000000
911,lilac,#c8a2c8
912,navy blue,#0066cc
913,royal blue,#0504aa
914,beige,#f5f5dc
915,salmon,#ff91a4
916,olive,#808000
917,maroon,#c32148
918,bright green,#66ff00
919,dark purple,#301934
920,mauve,#e0b0ff
921,forest green,#5fa777
922,aqua,#00ffff
923,cyan,#00ffff
924,tan,#fa9d5a
925,dark blue,#00035b
926,lavender,#c79fef
927,turquoise,#40e0d0
928,dark green,#013220
929,violet,#8f00ff
930,light purple,#bf77f6
931,lime green,#32cd32
932,grey,#929591
933,sky blue,#87ceeb
934,yellow,#ffff00
935,magenta,#ff00ff
936,light green,#90ee90
937,orange,#ff8833
938,teal,#008080
939,light blue,#add8e6
940,red,#ff0000
941,brown,#af593e
942,pink,#ffc0cb
943,blue,#0000ff
944,green,#3aa655
945,purple,#6a0dad
946,blank,#ffffff
947,blanch,#ffffff
948,paper white,#ffffff
949,candid,#ffffff
950,whitish,#ffffff
951,whitelike,#ffffff
952,albid,#ffffff
953,incandent,#ffffff
954,all white,#ffffff
955,dead white,#f8f8ff
956,snow white,#fffafa
957,snowish,#fffafa
